sexo_motor,grupo_edad,basica-,media_sup,superior
0,25-29,0.32479003685060187,0.3099297795168338,0.3652801836325643
0,30-34,0.3945664343804982,0.2759237421197635,0.3295098234997383
0,35-39,0.4582081567352465,0.2645924244868747,0.2771994187778788
0,40-44,0.5138080032929324,0.233431160188121,0.2527608365189466
0,45-49,0.570350764944741,0.21676001657027263,0.21288921848498635
0,50-54,0.609848976691992,0.20019535064411345,0.1899556726638945
0,55-59,0.6083371085292906,0.20033553257213405,0.19132735889857536
0,60-64,0.6178719834379826,0.16737840316275404,0.2147496133992634
1,25-29,0.3287173766036409,0.28501539473867527,0.3862672286576838
1,30-34,0.395768921127916,0.28332651090571864,0.32090456796636535
1,35-39,0.4546884661276324,0.27138297950158197,0.2739285543707856
1,40-44,0.5359664087572787,0.22461251701437368,0.23942107422834763
1,45-49,0.6002234530417727,0.2070749335061758,0.19270161345205147
1,50-54,0.6034457803802862,0.21685882593944406,0.1796953936802697
1,55-59,0.6334182146500145,0.20162463328314947,0.16495715206683612
1,60-64,0.6739923555037902,0.1579588363176435,0.16804880817856632
